Function,x,n,time_microseconds
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,9,0
UnoptimizedDC,9,9,0
OptimizedDC,9,9,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,9,10,0
UnoptimizedDC,9,10,0
OptimizedDC,9,10,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,1,0
UnoptimizedDC,10,1,0
OptimizedDC,10,1,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,2,0
UnoptimizedDC,10,2,0
OptimizedDC,10,2,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,3,0
UnoptimizedDC,10,3,0
OptimizedDC,10,3,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,4,0
UnoptimizedDC,10,4,0
OptimizedDC,10,4,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,5,0
UnoptimizedDC,10,5,0
OptimizedDC,10,5,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,6,0
UnoptimizedDC,10,6,0
OptimizedDC,10,6,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,7,0
UnoptimizedDC,10,7,0
OptimizedDC,10,7,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,8,0
UnoptimizedDC,10,8,0
OptimizedDC,10,8,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,9,0
UnoptimizedDC,10,9,0
OptimizedDC,10,9,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
Naive,10,10,0
UnoptimizedDC,10,10,0
OptimizedDC,10,10,0
